176	252	348	459	267	108	453	448	452	329	398	455	190	236	1	316	298	395	340	220	221	407	
208	378	204	457	79	299	465	92	239	195	5	369	394	78	411	413	410	247	83	444	324	6	
312	468	294	460	146	447	472	147	124	123	135	261	320	48	213	412	104	7	100	443	232	4	
21	454	305	403	306	462	463	16	143	400	169	263	414	466	82	212	256	339	101	323	334	233	
408	469	368	449	404	84	464	25	349	46	177	162	99	121	225	127	314	441	95	417	94	335	
97	310	458	461	198	69	144	243	55	171	270	165	87	423	223	361	137	440	70	442	230	196	
200	309	116	295	338	71	373	425	199	41	42	59	258	304	422	427	428	32	75	396	313	419	
467	18	114	117	235	370	175	271	300	142	60	322	219	203	10	15	30	34	438	112	134	336	
152	206	126	154	170	273	375	50	40	381	181	389	277	418	67	397	194	430	88	392	76	192	
244	311	89	81	47	173	174	63	58	179	189	288	281	187	290	362	131	333	91	319	216	133	
9	209	327	426	275	161	372	241	184	186	379	280	387	286	278	57	386	43	433	132	416	210	
364	28	473	151	351	359	257	54	285	385	185	178	62	279	180	380	382	65	234	435	245	205	
399	27	409	150	255	26	358	160	182	191	283	282	183	384	64	53	125	328	229	130	113	405	
98	164	96	250	355	354	268	172	292	388	287	284	383	291	56	61	269	424	106	105	93	315	
420	168	19	350	254	24	23	259	264	365	188	68	344	390	228	51	222	120	415	39	297	8	
138	74	238	345	253	155	77	159	262	363	72	73	226	66	331	446	325	431	318	38	337	110	
391	167	145	342	14	249	352	360	35	163	118	231	13	402	129	45	103	102	215	201	302	157	
193	367	3	139	11	20	153	29	260	149	207	321	218	371	22	436	90	0	17	202	2	357	
456	111	346	341	242	156	353	166	366	37	308	406	115	445	326	421	289	434	429	303	471	470	
293	296	393	140	347	356	36	158	265	122	274	119	224	227	128	49	214	437	52	343	141	217	
246	85	451	237	276	307	80	432	86	148	374	376	439	332	330	44	317	33	401	240	12	107	
211	109	450	266	377	301	197	136	31	248	272	251	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
